email;exercicio;passo;AD;SB;MT;SP;PA;PM;MM;DM;AF;MF;OI;UT;RE;ER;DE;correct;feedback;timestamp
913;x+19=34;x=15;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-22 07:51:14
913;x-3=5;x=8;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-22 07:51:39
913;x-6=10;x=16;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-22 07:51:47
913;x-8=17;x=25;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-22 07:51:58
913;x-4=4;x=8;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-22 07:52:03
913;x-12=19;x=31;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-22 07:52:10
913;x+5=-4;x=-9;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-22 07:52:33
913;x+7=-11;x=-18;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-22 07:52:43
913;x+6=-12;x=-18;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-22 07:52:53
913;x+14=-1;x=-15;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-22 07:53:00
913;x+22=-22;x=-44;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-22 07:53:06
913;x-8=-10;x=-2;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-22 07:53:24
913;x-15=-7;x=8;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-22 08:29:21
913;x-13=-11;x=2;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-22 08:29:27
913;x-6=-23;x=-17;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-22 08:29:38
913;x-19=-42;x=-23;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-22 08:29:48
913;x+2=20;x=18;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-22 08:30:04
913;x-8=-10;x=-2;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-22 08:30:12
913;x-7=20;x=27;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-22 08:30:19
913;x+16=28;x=12;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-22 08:30:27
913;x+9=-19;x=-28;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-22 08:30:36
913;x-14=7;x=28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Infelizmente não há mais dicas disponíveis!;2017-02-22 08:30:50
913;x-14=7;x=21;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-22 08:30:59
913;x+18=-18;x=-36;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-22 08:31:11
913;x-12=-21;x=-9;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-22 08:31:23
913;x+29=42;x=13;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-22 08:31:40
913;x+100=98;x=-2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-22 08:31:46
914;x+7=12;x+7-7=12-7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-22 10:59:58
914;x+7=12;x=5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-22 11:00:44
915;x+7=12;x+7-7=12-7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-27 16:53:45
915;x+7=12;x=6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Infelizmente não há mais dicas disponíveis!;2017-02-27 16:55:32
915;x+7=12;x=6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Infelizmente não há mais dicas disponíveis!;2017-02-27 16:55:48
915;x+7=12;x=5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-27 16:56:17
915;x+4=9;x=5;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-27 16:57:22
915;x+3=15;x=12;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-27 16:57:52
915;x+5=8;x=3;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-27 16:58:08
915;x+12=27;x=15;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-27 16:58:24
915;x+16=32;x=12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Quais os requisitos necessários para se realizar uma operação de soma sobre um número e uma incógnita?;2017-02-27 16:58:36
915;x+16=32;x=12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Você não pode realizar esta operção uma vez que você está somando uma incógnita com um número natural. Você só pode somar dois numeros naturais ou duas incógnitas.;2017-02-27 16:58:52
915;x+16=32;x=12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Infelizmente não há mais dicas disponíveis!;2017-02-27 16:59:10
915;x+16=32;x=16;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-27 16:59:34
913;-x+5=9;x=4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Infelizmente não há mais dicas disponíveis!;2017-02-27 19:02:38
913;-x+5=9;-x=4;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-27 19:02:58
913;-x+5=9;x=-4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-27 19:03:05
913;-x+8=12;x=-4;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;null;2017-02-27 19:03:20
913;-x+13=28;x=-15;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;null;2017-02-27 19:03:42
913;-x+7=7;x=0;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;null;2017-02-27 19:03:51
913;-x+21=34;x=-13;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;null;2017-02-27 19:04:06
913;-x-4=11;x=-14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Infelizmente não há mais dicas disponíveis!;2017-02-27 19:04:39
913;-x-4=11;x=14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Infelizmente não há mais dicas disponíveis!;2017-02-27 19:04:44
913;-x-4=11;x=-15;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;null;2017-02-27 19:04:53
916;x+7=12;x=12-7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-28 15:06:43
916;x+7=12;x=5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-28 15:06:54
916;x+4=9;x=9-4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-28 15:07:45
916;x+4=9;x=5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-28 15:07:51
916;x+3=15;x=15+3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Infelizmente não há mais dicas disponíveis!;2017-02-28 15:08:06
916;x+3=15;x=15+3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Infelizmente não há mais dicas disponíveis!;2017-02-28 15:08:16
916;x+3=15;x=15+3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Infelizmente não há mais dicas disponíveis!;2017-02-28 15:08:19
916;x+3=15;x=15+3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Infelizmente não há mais dicas disponíveis!;2017-02-28 15:08:22
916;x+3=15;x=15+3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Infelizmente não há mais dicas disponíveis!;2017-02-28 15:08:24
916;x+3=15;x=15-3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-28 15:08:30
916;x+3=15;x=17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Infelizmente não há mais dicas disponíveis!;2017-02-28 15:08:41
916;x+3=15;x=16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Infelizmente não há mais dicas disponíveis!;2017-02-28 15:08:45
916;x+3=15;x=12;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-28 15:08:50
916;x+5=8;x=8-5;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-28 15:09:11
916;x+5=8;x=8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Infelizmente não há mais dicas disponíveis!;2017-02-28 15:09:20
916;x+5=8;x=3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-28 15:09:27
916;x+12=27;x=-12+27;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-28 15:09:48
916;x+12=27;x=15;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-28 15:10:08
916;x+16=32;x=16;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-28 15:10:22
916;x+8=15;x=7;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-28 17:56:48
916;x+10=10;x=0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-28 17:56:59
916;x+7=23;x=16;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-28 17:57:12
916;x+11=27;x=16;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-28 17:57:30
916;x+19=34;x=15;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-28 17:57:45
916;x-3=5;x=8;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-28 17:58:08
916;x-6=10;x=16;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-28 17:58:18
916;x-8=17;x=25;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-28 17:58:32
916;x-4=4;x=8;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-28 17:58:39
916;x-12=19;x=31;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-28 17:58:51
916;x+5=-4;x=-9;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-28 17:59:12
916;x+7=-11;x=-18;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-28 17:59:28
916;x+6=-12;x=-18;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-28 18:00:29
916;x+14=-1;x=-15;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-28 18:00:38
916;x+22=-22;x=-44;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-28 18:00:45
916;x-8=-10;x=-2;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-28 18:01:51
916;x-15=-7;x=-5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Infelizmente não há mais dicas disponíveis!;2017-02-28 18:24:01
916;x-15=-7;x=8;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-02-28 18:24:15
914;x+16=32;x=32-16;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-03-01 09:25:36
914;x+16=32;x=6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Infelizmente não há mais dicas disponíveis!;2017-03-01 09:25:54
914;x+16=32;x=16;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;null;2017-03-01 09:31:30
917;x+7=12;x+7-7=12-7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-03-01 10:00:33
917;x+7=12;x+0=5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;null;2017-03-01 10:01:20
917;x+7=12;x=5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;null;2017-03-01 10:01:24
917;x+5=8;x=3;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-03-01 10:02:18
917;x+12=27;x=15;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-03-01 10:02:45
917;x+16=32;x=16;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-03-01 10:03:26
917;x+3=15;x=12;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-03-01 10:03:32
917;x+4=9;x=5;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-03-01 10:03:37
917;x+19=34;x=15;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-03-01 10:04:25
917;x+8=15;x=7;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-03-01 10:04:35
917;x+10=10;x=0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-03-01 10:04:45
917;x+7=23;x=16;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-03-01 10:04:51
917;x+11=27;x=16;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-03-01 10:04:57
917;x-8=17;x=25;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-03-01 10:07:41
917;x-6=10;x=16;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-03-01 10:07:48
917;x-3=5;x=8;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-03-01 10:07:55
917;x-4=4;x=8;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-03-01 10:08:00
917;x-12=19;x=31;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-03-01 10:08:10
917;x+14=-1;x=-15;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-03-01 10:08:35
917;x+6=-12;x=-17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Infelizmente não há mais dicas disponíveis!;2017-03-01 10:08:45
917;x+6=-12;x=-18;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-03-01 10:08:52
917;x+7=-11;x=-18;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-03-01 10:09:01
917;x+22=-22;x=-44;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-03-01 10:09:10
917;x+5=-4;x=-9;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-03-01 10:09:21
919;x+7=12;x=5;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-03-03 15:33:16
919;(x-5)/(10)+(1-2x)/(5)=(3-x)/(4);2x-10+4-8x=15-5x;1;1;1;0;0;0;1;1;1;0;0;1;0;0;0;1;null;2017-03-03 15:34:28
919;x+4=9;x=9+4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Mantenha o equilíbrio da equação: ao remover uma quantia de um lado você deve remover do outro lado também. Por exemplo, para remover 5 do lado esquerdo da equação abaixo, você deve subtrair 5 dos 2 lados: <br /> x+5=10 <br /> x+5-5=10-5 <br /> x=10-5;2017-03-03 15:41:36
919;x+4=9;x=9-4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-03-03 15:42:02
919;x+4=9;x=5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;null;2017-03-04 13:42:34
919;x+3=15;x=15-3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-03-20 15:23:00
923;x+4=9;x=5;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-03-20 17:34:44
923;x+3=15;x=124-17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Infelizmente não há mais dicas disponíveis!;2017-03-20 17:34:52
923;x+3=15;x=12;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-03-20 17:34:57
923;x+5=8;x=34*6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Infelizmente não há mais dicas disponíveis!;2017-03-20 17:35:07
923;x+5=8;x=3;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-03-20 17:35:10
923;x+12=27;x=15;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-03-20 17:35:23
923;x+16=32;x=16;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-03-20 17:35:30
923;x+8=15;x=7;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-03-20 17:36:09
924;x+7=12;-7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sua equação possui o seguinte erro: Equação Inválida: Poucos termos apresentados;2017-04-04 14:31:46
924;x+7=12;-7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sua equação possui o seguinte erro: Equação Inválida: Poucos termos apresentados;2017-04-04 14:33:12
924;x+7=12;-7+7=12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sua equação possui o seguinte erro: Equação Inválida: Inexistência de incógnitas;2017-04-04 14:33:24
924;x+7=12;x=12-7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-04-04 14:33:45
924;x+7=12;x=5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;null;2017-04-04 14:35:37
913;-x-9=17;x=-26;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;null;2017-04-05 19:30:54
913;-x-7=7;x=-14;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;null;2017-04-05 19:31:12
913;-x-15=30;x=-45;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;null;2017-04-05 19:31:29
913;-x-22=33;x=-55;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;null;2017-04-05 19:32:05
913;-x+6=-18;x=25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Infelizmente não há mais dicas disponíveis!;2017-04-05 19:32:37
913;-x+6=-18;x=24;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;null;2017-04-05 19:32:40
913;-x+14=-29;x=43;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;null;2017-04-05 19:32:55
913;-x+25=-50;x=75;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;null;2017-04-05 19:33:07
913;-x+98=-96;x=194;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;null;2017-04-05 19:33:38
913;-x+100=-200;x=300;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;null;2017-04-05 19:33:49
913;-x-8=-22;x=9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Infelizmente não há mais dicas disponíveis!;2017-04-05 19:34:18
913;-x-8=-22;x=14;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;null;2017-04-05 19:34:37
913;-x-17=-36;x=19;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;null;2017-04-05 19:34:52
913;-x-24=-240;x=200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Infelizmente não há mais dicas disponíveis!;2017-04-05 19:35:09
913;-x-24=-240;x=216;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;null;2017-04-05 19:35:26
913;-x-127=-189;x=62;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;null;2017-04-05 19:35:52
913;-x-100=-101;x=1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;null;2017-04-05 19:36:03
913;x+3=7;x=4;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-04-05 19:36:30
913;x-8=19;x=27;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-04-05 19:36:44
913;x-11=-121;x=110;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Infelizmente não há mais dicas disponíveis!;2017-04-05 19:36:57
913;x-11=-121;x=-110;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-04-05 19:37:11
913;x+25=-50;x=-75;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-04-05 19:37:24
913;x+12=-12;x=-24;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-04-05 19:37:37
913;x+9=13;x=4;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-04-05 19:37:49
913;x-22=-88;x=-66;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-04-05 19:38:05
913;-x-20=42;x=-62;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;null;2017-04-05 19:40:08
913;-x+7=63;x=-56;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;null;2017-04-05 19:40:37
913;x-10=10;x=0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Infelizmente não há mais dicas disponíveis!;2017-04-05 19:40:49
913;x-10=10;x=0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Infelizmente não há mais dicas disponíveis!;2017-04-05 19:40:54
913;x-10=10;x=20;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-04-05 19:40:59
913;-x-17=64;x=-81;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;null;2017-04-05 19:41:21
917;x-8=-10;x=-10+8;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-04-10 00:14:27
917;x-8=-10;x=-2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;null;2017-04-10 00:14:32
917;x-15=-7;x=-7+15;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-04-10 00:27:28
917;x-15=-7;x=8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;null;2017-04-10 00:27:35
923;x+7=12;x+7-7=12-7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-05-02 14:00:29
923;x+7=12;x+7=5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Infelizmente não há mais dicas disponíveis!;2017-05-02 14:01:58
923;x+7=12;x=5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;null;2017-05-02 14:02:45
923;x+10=10;x+10-10=10-10;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-05-02 14:04:38
923;x+10=10;x=0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-05-02 14:04:44
923;x+7=23;x=23-7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-05-02 14:05:00
923;x+7=23;x=15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Infelizmente não há mais dicas disponíveis!;2017-05-02 14:05:05
923;x+7=23;x=116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Infelizmente não há mais dicas disponíveis!;2017-05-02 14:05:12
923;x+7=23;x=16;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;null;2017-05-02 14:05:16
923;x+11=27;x=16;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-05-02 14:05:38
923;x+19=34;x=15;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-05-02 14:05:53
923;x-4=4;x=4+4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-05-02 14:08:05
923;x-4=4;x=8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;null;2017-05-02 14:08:08
923;x-6=10;x=16;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-05-02 14:08:15
925;x+7=12; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Sua equação possui o seguinte erro: Equação Inválida: Equação vazia;2017-05-03 15:39:28
925;x+7=12;x=12-7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-05-03 15:39:46
925;x+7=12;x=5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;null;2017-05-03 15:39:56
925;x+4=9;x=5;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-05-03 15:40:35
925;x+3=15;x=12;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-05-03 15:40:52
925;x+5=8;x=3;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-05-03 15:42:01
925;x+12=27;x=15;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-05-03 15:42:14
925;x+16=32;x=16;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-05-03 15:42:34
925;x+8=15;x=7;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-05-03 15:43:32
925;x+10=10;x=0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-05-03 15:43:42
925;x+7=23;x=16;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-05-03 15:43:55
925;x+11=27;x=16;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-05-03 15:44:04
925;x+19=34;x=15;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-05-03 15:44:14
925;x-3=5;x=8;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-05-03 15:44:58
925;x-6=10;x=16;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-05-03 15:45:06
925;x-8=17;x=25;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-05-03 15:45:21
925;x-4=4;x=8;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;null;2017-05-03 15:45:34
